val,pop
141000000,1
30000000,1
29207750,1
16500000,1
14000000,1
8176718,1
6200000,1
5995942,1
5000000,1
4851436,1
4306352,1
4220912,1
2985000,1
2860000,2
2855000,1
2850000,2
2845000,1
2837500,1
2832500,1
2831000,2
2830000,1
2795000,1
2085000,1
2000000,3
1945000,3
1790000,1
1755000,2
1750000,1
1377500,4
1310000,1
1292500,5
1210000,1
1125000,15
1105000,1
1055000,5
1035000,1
985000,5
915000,6
795000,12
439500,1
416166,1
403300,1
393800,1
383400,2
378244,1
360633,1
348100,3
340322,1
339999,1
318822,1
302400,22
301666,1
288334,1
267222,1
263333,1
256667,2
225000,26
