val,pop
31339040,1
24551256,1
18300000,1
11000000,1
8185166,1
5485524,1
5241844,1
4453112,1
4444492,1
4015704,1
4014120,1
3936508,1
3866536,1
3250000,1
3000000,2
2575000,6
2572500,1
2570000,3
2567500,1
2562500,2
2562000,2
2560000,1
1585000,1
1575000,2
1272500,2
1220000,1
1187500,6
1120000,3
1085000,1
1065000,2
1060000,1
1035000,13
990000,1
965000,4
945000,1
895000,4
834000,1
832000,1
828500,1
825000,11
713500,1
712500,2
711500,1
708500,1
705000,11
480000,1
442844,1
437900,1
433400,2
400522,1
395800,1
358200,6
356066,1
321666,2
309244,1
290001,2
283444,2
277200,13
262334,2
245222,2
241333,1
240999,1
234667,2
207000,42
