val,pop
43500000,1
32345588,1
30750000,1
30000000,1
16126000,1
14000000,1
8400000,1
8391046,1
6825000,1
6200000,1
5000000,1
4600000,1
4329560,1
4086888,1
4000000,1
3642140,1
3500000,1
3493364,1
3405144,1
3376952,1
3370492,2
3259000,1
2300000,2
2297500,1
2297000,1
2295000,3
2287500,4
2287000,1
2285000,5
2250000,3
2050000,1
2000000,1
1705000,1
1550000,1
1525000,2
1500000,1
1390000,4
1350000,1
1267000,1
1250000,1
1117500,1
1113500,1
1113000,1
1112000,1
1111000,2
1110500,1
1110000,2
1100000,1
1050000,3
1047500,1
1020000,1
960000,1
910000,4
825000,5
750000,2
675000,3
660000,4
610000,6
510000,1
259294,1
249954,1
217765,1
214235,1
204000,12
197764,2
182929,1
178518,2
172564,1
170282,3
163412,1
146612,1
142800,31
136682,1
132106,1
