Position,Player,Team,Year Signed,Years,Value,APY,Guaranteed,APY as % Of Cap At Signing,Inflated Value,Inflated APY,Inflated Guaranteed
Quarter Back,Deshaun Watson,Browns,2022,5,"$230,000,000 ","$46,000,000 ","$230,000,000 ",22.1%,"$308,434,198 ","$61,686,840 ","$308,434,198 "
Quarter Back,Joe Burrow,Bengals,2023,5,"$275,000,000 ","$55,000,000 ","$219,010,000 ",24.5%,"$341,548,043 ","$68,309,609 ","$272,008,861 "
Quarter Back,Dak Prescott,Cowboys,2024,4,"$240,000,000 ","$60,000,000 ","$231,000,000 ",23.5%,"$262,364,918 ","$65,591,229 ","$252,526,233 "
Quarter Back,Josh Allen,Bills,2025,6,"$330,000,000 ","$55,000,000 ","$250,000,000 ",19.7%,"$330,000,000 ","$55,000,000 ","$250,000,000 "
Quarter Back,Justin Herbert,Chargers,2023,5,"$262,500,000 ","$52,500,000 ","$193,738,375 ",23.4%,"$326,023,132 ","$65,204,626 ","$240,621,683 "
Quarter Back,Lamar Jackson,Ravens,2023,5,"$260,000,000 ","$52,000,000 ","$185,000,000 ",23.1%,"$322,918,149 ","$64,583,630 ","$229,768,683 "
Quarter Back,Josh Allen,Bills,2021,6,"$258,000,000 ","$43,000,000 ","$150,000,000 ",23.6%,"$394,704,658 ","$65,784,110 ","$229,479,452 "
Quarter Back,Jalen Hurts,Eagles,2023,5,"$255,000,000 ","$51,000,000 ","$179,304,000 ",22.7%,"$316,708,185 ","$63,341,637 ","$222,694,292 "
Quarter Back,Russell Wilson,Broncos,2022,5,"$245,000,000 ","$49,000,000 ","$165,000,000 ",23.5%,"$328,549,472 ","$65,709,894 ","$221,268,012 "
Quarter Back,Trevor Lawrence,Jaguars,2024,5,"$275,000,000 ","$55,000,000 ","$200,000,000 ",21.5%,"$300,626,468 ","$60,125,294 ","$218,637,431 "
Quarter Back,Kyler Murray,Cardinals,2022,5,"$230,500,000 ","$46,100,000 ","$160,000,000 ",22.1%,"$309,104,707 ","$61,820,941 ","$214,562,920 "
Quarter Back,Aaron Rodgers,GB/NYJ,2022,5,"$150,815,000 ","$50,271,667 ","$150,665,000 ",24.1%,"$202,245,668 ","$67,415,223 ","$202,044,515 "
Quarter Back,Patrick Mahomes,Chiefs,2020,10,"$450,000,000 ","$45,000,000 ","$141,000,000 ",22.7%,"$633,905,146 ","$63,390,515 ","$198,623,613 "
Quarter Back,Dak Prescott,Cowboys,2021,4,"$160,000,000 ","$40,000,000 ","$126,000,000 ",21.9%,"$244,778,082 ","$61,194,521 ","$192,762,740 "
